"teamid","yearid","w","total_salary","wins_per_million"
"ANA",2000,82,"51464167","1.59"
"ANA",2001,75,"47535167","1.58"
"ANA",2002,99,"61721667","1.60"
"ANA",2003,77,"79031667","0.97"
"ANA",2004,92,"100534667","0.92"
"ARI",2000,85,"81027833","1.05"
"ARI",2001,92,"85082999","1.08"
"ARI",2002,98,"102819999","0.95"
"ARI",2003,84,"80657000","1.04"
"ARI",2004,51,"69780750","0.73"
"ARI",2005,77,"62329166","1.24"
"ARI",2006,76,"59684226","1.27"
"ARI",2007,90,"52067546","1.73"
"ARI",2008,82,"66202712","1.24"
"ARI",2009,70,"73115666","0.96"
"ARI",2010,65,"60718166","1.07"
"ARI",2011,94,"53639833","1.75"
"ARI",2012,81,"73804833","1.10"
"ARI",2013,81,"90132000","0.90"
"ARI",2014,64,"97861500","0.65"
"ARI",2015,79,"61834000","1.28"
"ARI",2016,69,"87439063","0.79"
"ATL",2000,95,"84537836","1.12"
"ATL",2001,88,"91936166","0.96"
"ATL",2002,101,"92870367","1.09"
"ATL",2003,101,"106243667","0.95"
"ATL",2004,96,"90182500","1.06"
"ATL",2005,90,"86457302","1.04"
"ATL",2006,79,"90156876","0.88"
"ATL",2007,84,"87290833","0.96"
"ATL",2008,72,"102365683","0.70"
"ATL",2009,86,"96726166","0.89"
"ATL",2010,91,"84423666","1.08"
"ATL",2011,89,"87002692","1.02"
"ATL",2012,94,"82829942","1.13"
"ATL",2013,96,"87871525","1.09"
"ATL",2014,79,"97609000","0.81"
"ATL",2015,67,"71781250","0.93"
"ATL",2016,68,"68498291","0.99"
"BAL",2000,74,"81447435","0.91"
"BAL",2001,63,"67599540","0.93"
"BAL",2002,67,"60493487","1.11"
"BAL",2003,71,"73877500","0.96"
"BAL",2004,78,"51623333","1.51"
"BAL",2005,74,"73914333","1.00"
"BAL",2006,70,"72585582","0.96"
"BAL",2007,69,"93174808","0.74"
"BAL",2008,68,"67196246","1.01"
"BAL",2009,64,"67101666","0.95"
"BAL",2010,66,"81612500","0.81"
"BAL",2011,69,"85304038","0.81"
"BAL",2012,93,"77353999","1.20"
"BAL",2013,85,"84393333","1.01"
"BAL",2014,96,"103416000","0.93"
"BAL",2015,81,"115044833","0.70"
"BAL",2016,89,"161863456","0.55"
"BOS",2000,85,"77940333","1.09"
"BOS",2001,82,"110035833","0.75"
"BOS",2002,93,"108366060","0.86"
"BOS",2003,95,"99946500","0.95"
"BOS",2004,98,"127298500","0.77"
"BOS",2005,95,"123505125","0.77"
"BOS",2006,86,"120099824","0.72"
"BOS",2007,96,"143026214","0.67"
"BOS",2008,95,"133390035","0.71"
"BOS",2009,95,"121345999","0.78"
"BOS",2010,89,"162447333","0.55"
"BOS",2011,90,"161762475","0.56"
"BOS",2012,69,"173186617","0.40"
"BOS",2013,97,"151530000","0.64"
"BOS",2014,71,"139019929","0.51"
"BOS",2015,78,"181103400","0.43"
"BOS",2016,93,"188545761","0.49"
"CHA",2000,95,"31133500","3.05"
"CHA",2001,83,"65653667","1.26"
"CHA",2002,81,"57052833","1.42"
"CHA",2003,86,"51010000","1.69"
"CHA",2004,83,"65212500","1.27"
"CHA",2005,99,"75178000","1.32"
"CHA",2006,90,"102750667","0.88"
"CHA",2007,72,"108671833","0.66"
"CHA",2008,89,"121189332","0.73"
"CHA",2009,79,"96068500","0.82"
"CHA",2010,88,"105530000","0.83"
"CHA",2011,79,"127789000","0.62"
"CHA",2012,85,"96919500","0.88"
"CHA",2013,63,"120065277","0.52"
"CHA",2014,73,"81830500","0.89"
"CHA",2015,76,"112373700","0.68"
"CHA",2016,78,"112998667","0.69"
"CHN",2000,65,"60539333","1.07"
"CHN",2001,88,"64715833","1.36"
"CHN",2002,67,"75690833","0.89"
"CHN",2003,88,"79868333","1.10"
"CHN",2004,89,"90560000","0.98"
"CHN",2005,79,"87032933","0.91"
"CHN",2006,66,"94424499","0.70"
"CHN",2007,85,"99670332","0.85"
"CHN",2008,97,"118345833","0.82"
"CHN",2009,83,"134809000","0.62"
"CHN",2010,75,"146609000","0.51"
"CHN",2011,71,"125047329","0.57"
